run,ckpt_path,ckpt_md5,mAP50,mAP50_95,AP_small,AP_medium,AP_large,n_small,n_medium,n_large,val_protocol,val_params
e2p__baseline__s0,runs/detect/runs/e2p__baseline__s0/weights/best.pt,6b4d63a61e64a1016fe8c99155f152ba,0.6816,0.425,0.1685,0.3067,0.4986,391,2000,3313,Ultralytics DetectionValidator (faster-coco-eval),"data=exdark.yaml, imgsz=640, batch=16, conf=0.001, iou=0.6, max_det=300, rect=False, split=val, device=0, half=False"
e2p__baseline__s1,runs/detect/runs/e2p__baseline__s1/weights/best.pt,f9f720a1740f33b6d3a80ef43bdbc95d,0.6815,0.419,0.1366,0.2974,0.4933,391,2000,3313,Ultralytics DetectionValidator (faster-coco-eval),"data=exdark.yaml, imgsz=640, batch=16, conf=0.001, iou=0.6, max_det=300, rect=False, split=val, device=0, half=False"
e2p__baseline__s2,runs/detect/runs/e2p__baseline__s2/weights/best.pt,8ffe393f63b8a5568198100986fffd1a,0.6823,0.4187,0.1528,0.3019,0.4907,391,2000,3313,Ultralytics DetectionValidator (faster-coco-eval),"data=exdark.yaml, imgsz=640, batch=16, conf=0.001, iou=0.6, max_det=300, rect=False, split=val, device=0, half=False"
e2p__baseline__s3,runs/detect/runs/e2p__baseline__s3/weights/best.pt,c58e406f4a49fb5feb502c9f73c2a28a,0.6818,0.4205,0.1457,0.2997,0.4944,391,2000,3313,Ultralytics DetectionValidator (faster-coco-eval),"data=exdark.yaml, imgsz=640, batch=16, conf=0.001, iou=0.6, max_det=300, rect=False, split=val, device=0, half=False"
e2p__postsppf__s0,runs/detect/runs/e3p__pos-postsppf__s0/weights/best.pt,a5510ad1b6f3ea7f4702d3c63a0df016,0.6868,0.4243,0.1712,0.3043,0.4981,391,2000,3313,Ultralytics DetectionValidator (faster-coco-eval),"data=exdark.yaml, imgsz=640, batch=16, conf=0.001, iou=0.6, max_det=300, rect=False, split=val, device=0, half=False"
e2p__postsppf__s1,runs/detect/runs/e2p__postsppf__s1/weights/best.pt,6cf304e6e96454f3e76c59b70da5cb52,0.6941,0.4244,0.1636,0.3003,0.4972,391,2000,3313,Ultralytics DetectionValidator (faster-coco-eval),"data=exdark.yaml, imgsz=640, batch=16, conf=0.001, iou=0.6, max_det=300, rect=False, split=val, device=0, half=False"
e2p__postsppf__s2,runs/detect/runs/e2p__postsppf__s2/weights/best.pt,674032c468478b6f934b01aaf0694412,0.6824,0.4201,0.1528,0.2961,0.4957,391,2000,3313,Ultralytics DetectionValidator (faster-coco-eval),"data=exdark.yaml, imgsz=640, batch=16, conf=0.001, iou=0.6, max_det=300, rect=False, split=val, device=0, half=False"
e2p__postsppf__s3,runs/detect/runs/e2p__postsppf__s3/weights/best.pt,8712af949baab0eef8305e962bca4f05,0.6875,0.4193,0.1691,0.2992,0.4913,391,2000,3313,Ultralytics DetectionValidator (faster-coco-eval),"data=exdark.yaml, imgsz=640, batch=16, conf=0.001, iou=0.6, max_det=300, rect=False, split=val, device=0, half=False"
e6p__lam-1e-5__s0,runs/detect/runs/e6p__lam-1e-5__s0/weights/best.pt,a8fc3ba8d37cc603e7ede72e47999285,0.6833,0.4223,0.164,0.3011,0.497,391,2000,3313,Ultralytics DetectionValidator (faster-coco-eval),"data=exdark.yaml, imgsz=640, batch=16, conf=0.001, iou=0.6, max_det=300, rect=False, split=val, device=0, half=False"
e6p__lam-1e-4__s0,runs/detect/runs/e6p__lam-1e-4__s0/weights/best.pt,ca93e6ec41d58f9e2056a2d90ba2c137,0.6834,0.4235,0.1693,0.3004,0.4972,391,2000,3313,Ultralytics DetectionValidator (faster-coco-eval),"data=exdark.yaml, imgsz=640, batch=16, conf=0.001, iou=0.6, max_det=300, rect=False, split=val, device=0, half=False"
